movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,production_budget,worldwide_gross,release_date
tt0337692,on the road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,IFC,744000.0,8000000.0,25000000.0,9313302.0,2013-03-22
tt4339118,on the road,2014,89.0,Drama,6.0,6,IFC,744000.0,8000000.0,25000000.0,9313302.0,2013-03-22
tt5647250,on the road,2016,121.0,Drama,5.7,127,IFC,744000.0,8000000.0,25000000.0,9313302.0,2013-03-22
tt0359950,the secret life of walter mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,Fox,58200000.0,129900000.0,91000000.0,187861183.0,2013-12-25
tt0365907,a walk among the tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,Uni.,26300000.0,26900000.0,28000000.0,62108587.0,2014-09-19
tt0376136,the rum diary,2011,119.0,"Comedy,Drama",6.2,94787,FD,13100000.0,10800000.0,45000000.0,21544732.0,2011-10-28
tt0383010,the three stooges,2012,92.0,"Comedy,Family",5.1,28570,Fox,44300000.0,10500000.0,30000000.0,54052249.0,2012-04-13
tt0398286,tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,BV,200800000.0,391000000.0,260000000.0,586477240.0,2010-11-24
tt0401729,john carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,BV,73100000.0,211100000.0,275000000.0,282778100.0,2012-03-09
tt0427152,dinner for schmucks,2010,114.0,Comedy,5.9,91546,P/DW,73000000.0,13800000.0,69000000.0,86796502.0,2010-07-30
tt0429493,the a-team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,Fox,77200000.0,100000000.0,110000000.0,177241171.0,2010-06-11
tt0431021,the possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649,LGF,49100000.0,36300000.0,14000000.0,82925064.0,2012-08-31
tt0433035,real steel,2011,127.0,"Action,Drama,Family",7.1,283534,BV,85500000.0,213800000.0,110000000.0,263880341.0,2011-10-07
tt0435651,the giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999,Wein.,45100000.0,21900000.0,25000000.0,66540205.0,2014-08-15
tt0435761,toy story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,BV,415000000.0,652000000.0,200000000.0,1068879522.0,2010-06-18
tt0443272,lincoln,2012,150.0,"Biography,Drama,History",7.4,228701,BV,182200000.0,93100000.0,65000000.0,273346281.0,2012-11-09
tt0446029,scott pilgrim vs. the world,2010,112.0,"Action,Comedy,Fantasy",7.5,339338,Uni.,31500000.0,16100000.0,85000000.0,48056764.0,2010-08-13
tt0448694,puss in boots,2011,90.0,"Action,Adventure,Animation",6.6,133355,P/DW,149300000.0,405700000.0,130000000.0,554987477.0,2011-10-28
tt0451279,wonder woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527,WB,412600000.0,409300000.0,150000000.0,821133378.0,2017-06-02
tt4028068,wonder woman,2014,60.0,Sci-Fi,4.2,20,WB,412600000.0,409300000.0,150000000.0,821133378.0,2017-06-02
tt4283448,wonder woman,2016,75.0,"Documentary,Drama,Sport",6.9,13,WB,412600000.0,409300000.0,150000000.0,821133378.0,2017-06-02
tt0454876,life of pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,Fox,125000000.0,484000000.0,120000000.0,620912003.0,2012-11-21
tt0455407,the crazies,2010,101.0,"Horror,Thriller",6.5,104465,Over.,39100000.0,15700000.0,19000000.0,56445534.0,2010-02-26
tt0455944,the equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302,Sony,101500000.0,90800000.0,55000000.0,192903624.0,2014-09-26
tt0458339,captain america: the first avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137,Par.,176700000.0,193900000.0,140000000.0,370569776.0,2011-07-22
tt0464154,piranha 3d,2010,88.0,"Comedy,Horror",5.4,81327,W/Dim.,25000000.0,58200000.0,24000000.0,83660160.0,2010-08-20
tt0470752,ex machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,A24,25400000.0,11400000.0,13000000.0,38358392.0,2015-04-10
tt0471042,tower heist,2011,104.0,"Action,Comedy,Crime",6.2,125102,Uni.,78000000.0,74900000.0,85000000.0,150422946.0,2011-11-04
tt0472181,the smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577,Sony,142600000.0,421100000.0,110000000.0,563749323.0,2011-07-29
tt0472399,the mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254,CBS,29100000.0,47000000.0,42500000.0,76347393.0,2011-01-28
tt0475290,"hail, caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422,Uni.,30500000.0,33100000.0,22000000.0,64160680.0,2016-02-05
tt0477080,unstoppable,2010,98.0,"Action,Thriller",6.8,173019,Fox,81600000.0,86200000.0,95000000.0,165720921.0,2010-11-12
